Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,8275.000000,8300.000000,8125.000000,8275.000000,7932.867676,25268600
2022-06-16,8400.000000,8475.000000,8250.000000,8250.000000,7908.901367,35080500
2022-06-17,8125.000000,8250.000000,8100.000000,8175.000000,7837.001953,42844900
2022-06-20,8200.000000,8225.000000,8050.000000,8125.000000,7789.069336,27255800
2022-06-21,8175.000000,8450.000000,8175.000000,8450.000000,8100.632324,27525700
2022-06-22,8425.000000,8450.000000,8125.000000,8150.000000,7813.035645,31215400
2022-06-23,8175.000000,8225.000000,8075.000000,8150.000000,7813.035645,24434900
2022-06-24,8150.000000,8200.000000,8100.000000,8150.000000,7813.035645,23472500
2022-06-27,8175.000000,8200.000000,8050.000000,8050.000000,7717.170410,21684400
2022-06-28,8025.000000,8175.000000,8000.000000,8075.000000,7741.136719,32258300
2022-06-29,8100.000000,8125.000000,7875.000000,8025.000000,7693.204102,40127300
2022-06-30,8025.000000,8050.000000,7850.000000,7850.000000,7525.439453,25596700
2022-07-01,7850.000000,7950.000000,7750.000000,7850.000000,7525.439453,23558900
2022-07-04,7725.000000,7750.000000,7400.000000,7650.000000,7333.708496,59717900
2022-07-05,7675.000000,7950.000000,7650.000000,7750.000000,7429.573730,22238000
2022-07-06,7650.000000,7700.000000,7500.000000,7650.000000,7333.708496,30849000
2022-07-07,7600.000000,7750.000000,7600.000000,7600.000000,7285.775879,26896400
2022-07-08,7675.000000,7725.000000,7550.000000,7600.000000,7285.775879,33299800
2022-07-11,7600.000000,7650.000000,7500.000000,7500.000000,7189.910156,19491800
2022-07-12,7500.000000,7625.000000,7425.000000,7450.000000,7141.977539,45635200
2022-07-13,7450.000000,7550.000000,7225.000000,7225.000000,6926.280273,35161800
2022-07-14,7225.000000,7400.000000,7150.000000,7275.000000,6974.212891,26733700
2022-07-15,7350.000000,7375.000000,7250.000000,7275.000000,6974.212891,45940800
2022-07-18,7275.000000,7425.000000,7275.000000,7325.000000,7022.145508,16942600
2022-07-19,7325.000000,7475.000000,7275.000000,7300.000000,6998.179199,26312500
2022-07-20,7425.000000,7725.000000,7400.000000,7675.000000,7357.674805,49876200
2022-07-21,7800.000000,7825.000000,7550.000000,7725.000000,7405.607422,45811900
2022-07-22,7750.000000,7800.000000,7650.000000,7700.000000,7381.641113,19975100
2022-07-25,7700.000000,7725.000000,7600.000000,7600.000000,7285.775879,11377800
2022-07-26,7650.000000,7750.000000,7625.000000,7675.000000,7357.674805,20371400
2022-07-27,7750.000000,7825.000000,7725.000000,7775.000000,7453.540527,30735100
2022-07-28,7850.000000,7950.000000,7825.000000,7825.000000,7501.473145,45018700
2022-07-29,7875.000000,7950.000000,7825.000000,7850.000000,7525.439453,48013000
2022-08-01,8100.000000,8100.000000,7950.000000,7950.000000,7621.304688,70682900
2022-08-02,7975.000000,8075.000000,7875.000000,8075.000000,7741.136719,30737300
